Review,Sentiment,clean_text
very good,positive,good
super!,positive,super
decent product,neutral,decent product
worthless,neutral,worthless
bad quality,negative,bad quality
very good,positive,good
fair,neutral,fair
nice,positive,nice
not specified,negative,specified
worth every penny,positive,worth every penny
horrible,negative,horrible
awesome,positive,awesome
awesome,neutral,awesome
delightful,neutral,delightful
fair,neutral,fair
unsatisfactory,negative,unsatisfactory
classy product,positive,classy product
decent product,positive,decent product
terrific purchase,positive,terrific purchase
pretty good,positive,pretty good
wonderful,positive,wonderful
slightly disappointed,negative,slightly disappointed
value-for-money,positive,valueformoney
does the job,neutral,job
fabulous!,positive,fabulous
must buy!,neutral,must buy
perfect product!,positive,perfect product
highly recommended,positive,highly recommended
terrific,positive,terrific
horrible,negative,horrible
decent product,neutral,decent product
fabulous!,positive,fabulous
best in the market!,positive,best market
bad quality,negative,bad quality
utterly disappointed,negative,utterly disappointed
not specified,negative,specified
terrible product,neutral,terrible product
simply awesome,positive,simply awesome
wonderful,positive,wonderful
unsatisfactory,negative,unsatisfactory
did not meet expectations,negative,meet expectations
value-for-money,neutral,valueformoney
useless product,negative,useless product
absolute rubbish!,negative,absolute rubbish
did not meet expectations,negative,meet expectations
absolute rubbish!,negative,absolute rubbish
just okay,positive,okay
don't waste your money,negative,dont waste money
nice,neutral,nice
expected a better product,negative,expected better product
absolute rubbish!,negative,absolute rubbish
terrific,positive,terrific
just okay,negative,okay
not specified,neutral,specified
does the job,positive,job
moderate,negative,moderate
awesome,positive,awesome
awesome,positive,awesome
bad quality,neutral,bad quality
really nice,positive,really nice
bad quality,negative,bad quality
not perfect...,positive,perfect
just okay,positive,okay
good,positive,good
waste of money!,negative,waste money
just okay,neutral,okay
delightful,positive,delightful
delightful,positive,delightful
waste of money!,negative,waste money
simply awesome,positive,simply awesome
highly recommended,positive,highly recommended
just wow!,positive,wow
worth every penny,positive,worth every penny
waste of money!,negative,waste money
fabulous!,positive,fabulous
don't waste your money,negative,dont waste money
terrific,positive,terrific
awesome,positive,awesome
super!,positive,super
terrible product,negative,terrible product
horrible,negative,horrible
decent product,negative,decent product
worthless,negative,worthless
does the job,neutral,job
don't waste your money,negative,dont waste money
value-for-money,positive,valueformoney
highly recommended,positive,highly recommended
good choice,neutral,good choice
great product,positive,great product
best in the market!,positive,best market
don't waste your money,negative,dont waste money
worthless,negative,worthless
does the job,negative,job
moderate,negative,moderate
nice,neutral,nice
delightful,positive,delightful
did not meet expectations,negative,meet expectations
nice,positive,nice
does the job,positive,job
brilliant,positive,brilliant
terrific,neutral,terrific
nice product,neutral,nice product
hated it!,negative,hated
excellent,positive,excellent
must buy!,positive,must buy
nice product,positive,nice product
did not meet expectations,negative,meet expectations
fabulous!,positive,fabulous
worth the money,negative,worth money
utterly disappointed,negative,utterly disappointed
worth every penny,positive,worth every penny
worthless,negative,worthless
terrible product,negative,terrible product
does the job,neutral,job
absolute rubbish!,negative,absolute rubbish
don't waste your money,negative,dont waste money
terrific purchase,positive,terrific purchase
brilliant,positive,brilliant
utterly disappointed,negative,utterly disappointed
could be way better,negative,could way better
nice,positive,nice
worth the money,positive,worth money
did not meet expectations,negative,meet expectations
good choice,neutral,good choice
wonderful,positive,wonderful
very poor,negative,poor
simply awesome,positive,simply awesome
decent product,negative,decent product
does the job,neutral,job
good,positive,good
worst experience ever!,negative,worst experience ever
horrible,negative,horrible
good,neutral,good
fabulous!,positive,fabulous
moderate,negative,moderate
best in the market!,neutral,best market
not recommended at all,negative,recommended
awesome,positive,awesome
simply awesome,positive,simply awesome
unsatisfactory,negative,unsatisfactory
not specified,positive,specified
don't waste your money,negative,dont waste money
slightly disappointed,neutral,slightly disappointed
awesome,negative,awesome
not good,negative,good
classy product,positive,classy product
decent product,neutral,decent product
awesome,positive,awesome
utterly disappointed,negative,utterly disappointed
unsatisfactory,neutral,unsatisfactory
not good,neutral,good
